target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-2109.01,planet,ok,,0.67112,1.632,277.5244,0.6111,0.2058,0.5947,0.0000,0.0002,0.0000,49
TOI-1265.01,planet,ok,,2.20527,7.680,852.4396,0.9536,0.6185,0.0885,-0.5694,0.0000,0.9091,43
TOI-2567.01,planet,ok,,5.98460,4.272,939.3001,0.7065,0.8242,0.0173,-40.9409,0.0003,0.7906,17
TOI-1296.01,planet,ok,,3.94299,4.272,2191.1844,0.8219,0.9779,0.0206,-39.2811,0.0003,0.9159,25
TOI-1885.01,planet,ok,,13.08891,2.784,2487.9001,0.5430,0.4536,0.1558,50.4759,0.0017,0.8758,8
TOI-3862.01,planet,ok,,7.78723,1.248,3108.3896,0.5145,0.5765,0.0044,-32.8965,0.0008,0.9268,10
TOI-136.01,planet,ok,,2.31443,0.480,1093.7754,0.6840,0.2805,0.0855,0.0000,0.0003,0.0000,30
TOI-481.01,planet,ok,,10.33038,5.424,1854.2150,0.9208,0.9876,0.1751,4.2627,0.0006,0.8959,8
TOI-1181.01,planet,ok,,1.05171,3.888,926.0642,0.8597,0.5779,1.8527,-72.2212,0.0001,0.0275,98
TOI-129.01,planet,ok,,0.98090,0.480,1826.5183,0.3313,0.8412,nan,0.0000,0.0001,0.0000,91
TOI-747.01,planet,ok,,1.68307,2.400,621.9927,0.0000,nan,nan,0.0000,0.0003,0.0000,38
TOI-2266.01,planet,ok,,2.32623,1.248,1741.2748,0.6847,0.7652,0.6104,-268.4324,0.0004,0.3860,31
TOI-2330.01,planet,ok,,2.20822,2.400,1983.4831,0.6865,0.9453,1.3690,-70.3095,0.0001,-0.3773,44
TOI-7503.01,planet,ok,,3.61924,3.504,3857.9430,0.7720,0.2441,0.2015,-348.8623,0.0044,0.9651,6
TOI-4523.01,planet,ok,,2.71887,2.016,8952.4525,0.7142,0.9317,0.5470,-22.7066,0.0014,0.6775,5
